"시도별","연령계층별",2017.1/4,2018.1/4,2019.1/4,2020.1/4,2021.1/4,2022.1/4,2023.1/4,2024.1/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4
"시도별","연령계층별",고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%),고용률 (%)
"계","계",59.6,59.6,59.6,59.9,58.6,60.5,61.2,61.6,61.8,63.5,63.5,62.7
"서울특별시","계",59.6,59.5,58.6,59.7,58.1,59.5,60.3,61.5,60.4,61.8,62.3,61.6
"부산광역시","계",55.9,55.2,55.4,55.9,54.9,55.8,57.2,57.3,57.4,58.9,58.7,58.5
"대구광역시","계",58.7,56.7,57.2,55.7,56.7,58.3,58.8,57.8,57.3,58.5,58.1,58.0
"인천광역시","계",60.7,62.1,61.9,61.1,60.1,61.0,61.9,62.3,62.9,63.8,63.7,62.8
"광주광역시","계",58.3,58.9,58.5,58.8,57.5,57.8,59.3,61.1,59.9,61.0,61.6,60.9
"대전광역시","계",58.6,58.7,58.4,60.2,59.0,60.8,61.5,60.5,61.0,62.5,62.7,61.9
"울산광역시","계",59.0,59.4,57.6,58.5,56.9,57.4,59.0,58.6,59.4,60.6,60.2,59.2
"세종특별자치시","계",59.9,59.7,61.5,61.2,61.3,61.7,63.5,63.3,64.0,65.6,64.7,64.1
