행정동명,식료품 ,음료,담배 ,섬유제품(의복제외),의복 또는 의복 액세서리 및 모피제품 ,가죽 또는 가방 및 신발,목재 및 나무제품(가구 제외),펄프 또는 종이 및 종이제품,인쇄 및 기록매체 복제업,코크스 또는 연탄 또는 석유정제품,화학물질 또는 화학제품,의료용 물질 또는 의약품,고무 및 플라스틱제품,비금속 광물제품,1차 금속,금속가공제품(기계 및 가구 제외),전자제품 또는 컴퓨터 또는 영상 또는 음향 및 통신장비,의료 또는 정밀 또는 광학기기 또는 시계,전기장비,기타 기계 및 장비,자동차 또는 트레일러,기타 운송장비,가구,기타 제품,산업용 기계 및 장비 수리업
시흥1동,1,,,3,12,,1,1,1,,1,,4,,1,5,18,8,13,13,1,,1,3,
시흥2동,,,,,,,,,,,,,,,,,,,,,,,,1,
시흥3동,1,,,,,,,,1,,1,,,,1,5,3,5,7,3,,,,1,
시흥4동,,,,,2,,,,,,,,,,,,,,1,,,,,,
시흥5동,,,,,1,,,,,,1,,,,,,,2,,,,,,,
독산1동,11,,,9,58,,,14,21,,9,,40,1,3,23,71,26,40,124,5,2,2,25,
독산2동,,,,,3,,,,,,,,,,,,1,2,2,1,,,,1,
독산3동,,,,1,13,,,,,,,,1,1,,,3,,3,1,,,,,
독산4동,,,,,9,,,,,,,,,,,1,3,,1,,,,,1,
가산동,3,2,,7,14,1,1,2,6,,1,1,9,1,1,7,55,32,24,44,1,5,1,11,
