기업체명,소재지,주생산품,공장등록
(주)굿스굿,두마면 제1산단로 38,제습보관함,Y
(주)그레이스식품,"금암로 137-4, 1층 ",그레이스 혼합장,Y
(주)금아공조,두마면 제1산단로 25-16,공기조화장치,Y
(주)내담에프앤비,두마면 제1산단로 40-21,"아기이유식,과자,두유",Y
우리디자인,금암로 28 (금암동),"인쇄편집물, 광고물",N
(주)마메든도어,두마면 제1산단로 40-7,방화문,Y
(주)마이크로닉,계룡대로 245 (금암동) ,방송장비 ,Y
(주)메덱스더블유,두마면 입암리 79-1번지,플라스틱 용기,Y
(주)비타바이오,두마면 제1산단로 40-33,보조사료,Y
(주)세진,엄사면 도곡로 128-25,"무대장치, 자동제어반",Y
(주)신동양창호,두마면 대둔로 1413,플라스틱삿시,Y
(주)아워홈,두마면 제1산단로 26-21,"두부, 식빵",Y
(주)알티엑스,두마면 입암리 647번지,"나노소재, 전자빔장치",Y
(주)에스엘정보통신,엄사면 도곡로 125,영상감시장치(CCTV),Y
(주)엠아이텍,두마면 제1산단로 26-12,"냉동기, 공기조화장치",Y
(주)와이투아이,두마면 입암길 76-42,전기자동제어제조반,Y
(주)이루모스,두마면 입암길 76-18,"키친타월, 점보롤, 핸드타월 등",Y
(주)자우버,두마면 입암리 634번지,"일회용 렌즈크리너,",Y
(주)제이건설,"금암로 28, 1층 (금암동)","파고라, 볼라드",Y
(주)제이앤드에프,두마면 제1산단로 25-27,솔리노이드밸브 부품,Y
(주)진합,두마면 제1산단로 25-27,자동차부품,Y
(주)탑솔,두마면 제1산단로 25-7,지열히트 펌프시스템,Y
(주)티에스씨,두마면 입암길 42-19,"분산제,시멘트혼화제",Y
(주)티케이이에스,엄사면 도곡로 125,"태양광 접속반, ",Y
(주)티케이이엔에스,엄사면 도곡로 125,제습제,Y
(주)퍼스프,두마면 제1산단로 26-31,"깐양파, 깐감자,",Y
(주)펨스,두마면 제1산단로 25-63,인쇄전자장비,Y
(주)피앤에프,두마면 왕대로 77,"치킨소스,파우더",Y
(주)해련식품,두마면 제1산단로 40-29,세절돈육,Y
(주)헬스메드,두마면 팥거리로 43-22,산소발생기,Y
(주)황산벌육가공,두마면 입암길 82,가공돈육,Y
(주)휴마스,두마면 입암길 42-31,수질분석시,Y
고향식품,엄사면 광석향한길 28,전분 및 전분제품,Y
길산스틸(주),"두마면 제1산단로 25-46, ",스테인리스 강판,Y
농업회사법인 신도안종합식품(주),엄사면 도곡로 193,"물엿, 쌀조청",Y
농업회사법인 (주)훼미리푸드,두마면 입암리 658번지,"김치, 족발, 보쌈",Y
리브가 푸드 시스템(주),"엄사면 번영3길 73-3, 103호",혼합장류,Y
마이크로닉시스템(주),계룡대로 239 (금암동),방송장비,Y
만년푸드,제1산단로 40-13,조미료,N
명랑시대외식청년창업협동조합,두마면 입암길 42-45,명랑핫도그,Y
보명테크(주),두마면 제1산단로 7-31,수배전반,Y
서로 유한책임회사,엄사면 양정향한길 134,사무용 의자,Y
소이미푸드(주),두마면 제1산단로 16-9,두부,Y
신도안 엿,두마면 팥거리로 216,"물엿, 갱엿",Y
신화중기정비공업사,두마면 왕대로 105-5,토목공사기계장비제조,Y
영순아그로,두마면 왕대리 165번지,복합비료제조,Y
오케이퓨처(주),두마면 제1산단로 25-57,건설장비부품,Y
우리겨레협동조합,엄사면 사랑재길20,옻칠생활용품,Y
유로농자재,엄사면 광석향한길 80,농자재(물꼬조절기),Y
주안레미콘주식회사,엄사면 계백로 2906-27,레미콘,Y
케이웰텍,두마면 입암길 68,수전해 평가장치,Y
팔천식품,두마면 입암길 78,"육가공, 순대",Y
레드락주식회사,서금암로 53,홍콩밀크티,N
명성테크,두마면 제1산단로 26-31,금속가공,N
