회사명,업종명,생산품,주소,연락처,출처파일
대명섬유,그 외 기타 분류 안된 섬유제품 제조업 외 4 종,전자부품제조,"서울특별시 강북구 한천로109길 10, 유니온빌딩 101호, 202호 (번동)",02-945-2005,서울특별시 강북구 제조업체 등록현황_20250815.csv
동남정보기술,시계 및 시계부품 제조업 외 1 종,"간판, 도로표지판","서울특별시 강북구 삼양로77가길 98, 지1층 (수유동)",02-986-8057,서울특별시 강북구 제조업체 등록현황_20250815.csv
마이크로시스템엔지니어링,그 외 기타 전자부품 제조업 외 1 종,"린넨류,침구류",서울특별시 강북구 삼양로38가길 5 (미아동),02-988-8512,서울특별시 강북구 제조업체 등록현황_20250815.csv
주)국제종합건업,간판 및 광고물 제조업,"비상전원장치,전자부품,전기장비",서울특별시 강북구 솔샘로67길 90-3 (미아동),02-984-8800,서울특별시 강북구 제조업체 등록현황_20250815.csv
주)신원에이티에스,그 외 기타 전자부품 제조업 외 3 종,귀금속 및 장신구,서울특별시 강북구 삼각산로 150 (수유동),02-906-0541,서울특별시 강북구 제조업체 등록현황_20250815.csv
경흥공업사,그외 기타 자동차 부품 제조업,차부속,도봉구 도봉로168길 23 (도봉동),,서울특별시 도봉구 등록공장현황(2018)..csv
한일공업사,커튼 및 유사제품 제조업 외 1 종,전기전자제품부품,도봉구 덕릉로63가길 94 (창동),,서울특별시 도봉구 등록공장현황(2018)..csv
삼원전광(주),전구 및 램프 제조업,전자부품,"도봉구 우이천로4다길 18, 지층 (창동)",,서울특별시 도봉구 등록공장현황(2018)..csv
일우엠앤디(주),자동차용 전기장치 제조업 외 2 종,"자동차블랙박스,자동차영상주행기록계","도봉구 도봉로141길 17,  4층 (쌍문동)",,서울특별시 도봉구 등록공장현황(2018)..csv
동국정밀공업,주형 및 금형 제조업,컴퓨터복사기정밀부품,도봉구 우이천로 226-8 (창동),,서울특별시 도봉구 등록공장현황(2018)..csv
브릴랜드시계,시계부품 제조업,시계및부품,도봉구 덕릉로63가길 98 (창동),,서울특별시 도봉구 등록공장현황(2018)..csv
(주)삼원파워텍,운송장비용 조명장치 제조업,"자동차부품,LED조명","도봉구 우이천로4다길 18, 2층 (창동)",,서울특별시 도봉구 등록공장현황(2018)..csv
영원자동차공업사(주),차체 및 특장차 제조업,특장차부품,"도봉구 도봉로136길 49 (창동, 영원보링)",,서울특별시 도봉구 등록공장현황(2018)..csv
동아전장(주),그외 기타 전자부품 제조업,"자동차부품,전자부품",도봉구 덕릉로59라길 50 (창동),,서울특별시 도봉구 등록공장현황(2018)..csv
(주)한국씨엠에스,그 외 기타 전자부품 제조업 외 2 종,락카용전자키,"서울특별시 동대문구 천호대로85길 21-1, 4층 (장안동)",02-1566-9466,서울특별시 동대문구_공장등록 현황_20260224.csv
(주)케이프로시스템,무인 항공기 및 무인 비행장치 제조업 외 1 종,"드론, 드론부품","서울특별시 동대문구 이문로 90, 2층 (이문동)",02-1522-9978,서울특별시 동대문구_공장등록 현황_20260224.csv
마리아즈시계,시계 및 시계부품 제조업,시계,"서울특별시 동대문구 천호대로 54, 407호(용두동, 목산빌딩) (용두동)",,서울특별시 동대문구_공장등록 현황_20260224.csv
삼정터보,자동차 엔진용 신품 부품 제조업 외 1 종,자동차용 터보차저 재생산,"서울특별시 동대문구 한천로2길 16, 5층(장안동)",02-2242-2242,서울특별시 동대문구_공장등록 현황_20260224.csv
(주)태화에스앤드아이,자동차용 금속 압형제품 제조업 외 1 종,기계,서울특별시 동대문구 천호대로 82-5 (용두동),02-922-3251,서울특별시 동대문구_공장등록 현황_20260224.csv
(주)디클락,전시 및 광고용 조명장치 제조업 외 1 종,"LED 전자시계, 전광판, 시계, 시계부품","서울특별시 동대문구 왕산로 252, 지층 (전농동)",010-3741-****,서울특별시 동대문구_공장등록 현황_20260224.csv
화진이앤씨(주),철도차량 부품 및 관련 장치물 제조업 외 3 종,철도차량부품,"서울특별시 동대문구 답십리로67길 9, 1층 (장안동)",02-2245-2630,서울특별시 동대문구_공장등록 현황_20260224.csv
(주)아이엔디,금속 주조 및 기타 야금용 기계 제조업,샤워부스 부품,"서울특별시 성북구 종암로 56,  나동 111호 (종암동)",02-2024-2609,서울특별시 성북구_공장현황_20201001.csv
거성전기,"그 외 기타 전자부품 제조업,전자감지장치 제조업",휴즈,"서울특별시 성북구 장위로 167,  (2층) (장위동)",02-919-1742,서울특별시 성북구_공장현황_20201001.csv
(주)모락,"그 외 기타 고무제품 제조업,시계 및 시계부품 제조업","시계, 휴대용음식용기,","서울특별시 성북구 한천로 591,  2층 (석관동)",02-965-3660,서울특별시 성북구_공장현황_20201001.csv
(주)로보코,기타 주변기기 제조업,로봇부품,"서울특별시 성북구 인촌로 105,  고려대학교 자연계캠퍼스 산학관 203-2호 (안암동5가)",02-926-6916,서울특별시 성북구_공장현황_20201001.csv
비젼트리주식회사,"유선 통신장비 제조업,전자감지장치 제조업,그 외 기타 전자부품 제조업",유 통신장비,서울특별시 성북구 동소문동4가  39-2 백호빌딩 B 102호,02-2678-0482,서울특별시 성북구_공장현황_20201001.csv
주식회사 리모트월드,"기타 무선 통신장비 제조업,전자감지장치 제조업,그 외 기타 전자부품 제조업","리모컨, 전등스위치","서울특별시 성북구 화랑로14길 5, 한국과학기술원 벤처센터 962D호 (하월곡동)",02-3395-1472,서울특별시 성북구_공장현황_20201001.csv
(주)성원라커시스템,"그 외 기타 전자부품 제조업,전자감지장치 제조업",무인택배함 전자제어부,"서울특별시 성북구 화랑로14길 5, 한국과학기술연구원 H-1동 BI센터 982B호 (하월곡동)",02-900-5400,서울특별시 성북구_공장현황_20201001.csv
부광산업,"그 외 기타 달리 분류되지 않은 제품 제조업,자전거 및 환자용 차량 제조업","쿨팩,핫팩,찜질기",서울특별시 성북구 장위로15길 16 (장위동),02-912-1743,서울특별시 성북구_공장현황_20201001.csv
(주)대진테크,"육상 금속 골조 구조재 제조업,수상 금속 골조 구조재 제조업",샤워부스 경첩 및 욕식부품,"서울특별시 성북구 종암로 56, 나동 214호 (종암동)",02-911-8858,서울특별시 성북구_공장현황_20201001.csv
(주)라이칸스로프,"기타 조명장치 제조업,자전거 및 환자용 차량 제조업,그 외 기타 달리 분류되지 않은 제품 제조업","랜턴, 발열제",서울특별시 성북구 보문로13길 48 (보문동6가),02-744-2220,서울특별시 성북구_공장현황_20201001.csv
라성전자,기타 음향기기 제조업,음향기기부품,"서울특별시 성북구 한천로71길 13-5,  (지층) (석관동)",02-963-6626,서울특별시 성북구_공장현황_20201001.csv
(주)로가디스,시계 및 시계부품 제조업,,"서울특별시 송파구 백제고분로 512,  로가디스빌딩 지하1층 (방이동)",02-2203-8552,서울특별시 송파구_제조업공장현황_20230630.csv
(주)씨큐에이스,그 외 기타 전자부품 제조업 외 2종,,"서울특별시 송파구 삼전로9길 8,  3층 (잠실동)",02-417-3563,서울특별시 송파구_제조업공장현황_20230630.csv
(주)제이에스티나,시계 및 시계부품 제조업,,"서울특별시 송파구 양재대로62길 53,  지1층 (가락동)",02-2190-7013,서울특별시 송파구_제조업공장현황_20230630.csv
(주)포스트 쿨텍,그 외 기타 전자부품 제조업 외 1종,,"서울특별시 송파구 동남로 322,  2층 (오금동)",02-403-6627,서울특별시 송파구_제조업공장현황_20230630.csv
(주)휴먼비앤티,그 외 기타 전자부품 제조업 외 2종,,서울특별시 송파구 송파동 54번지 두경빌딩 지하,02-561-6077,서울특별시 송파구_제조업공장현황_20230630.csv
사운드플러스,전자부품 실장기판 제조업 외 1종,,"서울특별시 송파구 오금로53길 53,  2층 (거여동)",02-402-9311,서울특별시 송파구_제조업공장현황_20230630.csv
세광테그노전자(주),그 외 기타 전자부품 제조업 외 1종,,"서울특별시 송파구 풍성로25다길 18 (풍납동, 세광전자)",02-482-4062,서울특별시 송파구_제조업공장현황_20230630.csv
한국항공기술개발(주),항공기용 부품 제조업 외 4종,,"서울특별시 송파구 오금로17길 4,  예인빌딩3층 (방이동)",02-425-4321,서울특별시 송파구_제조업공장현황_20230630.csv
한영전자공업사,그 외 기타 전자부품 제조업 외 1종,,서울특별시 송파구 백제고분로45길 5 (송파동),02-413-9581,서울특별시 송파구_제조업공장현황_20230630.csv
(주)루가시트,그 외 자동차용 신품 부품 제조업 외 3 종,,서울특별시 용산구 한남대로27길 6 (한남동),,서울특별시 용산구_공장등록현황_20250730.csv
(주)대성오토텍,,주차관제장치,서울특별시 광진구 용마산로8가길 31+ 1층(101호) (중곡동),02-488-6285,서울특별시_광진구_공장등록현황(제조업)_20260127.csv
다호통상(주),,전자부품,서울특별시 광진구 아차산로 387 (구의동+ 일제빌딩),02-452-0533,서울특별시_광진구_공장등록현황(제조업)_20260127.csv
대영정공,,전자자동차부품일체,서울특별시 광진구 동일로2길 2 (자양동+ 대일카쎈타),02-464-6972,서울특별시_광진구_공장등록현황(제조업)_20260127.csv
